candidate,case,elapsed_ms,end_ns,http_status,kernel_connect_ms,port,received_bytes,requested_bytes,round,start_ns,status,ttfb_ms,worker_exit_code
gvisor,short,20.434022,5760742160014,200,18.446377,18080,4096,4096,1,5760721725992,PASS,20.321283,
gvisor,short,20.310333,5760743393610,200,18.9283,18080,4096,4096,1,5760723083277,PASS,20.132914,
gvisor,short,19.938528,5760743915214,200,19.18014,18080,4096,4096,1,5760723976686,PASS,19.797096,
gvisor,short,19.625435,5760745033595,200,18.903814,18080,4096,4096,1,5760725408160,PASS,19.523476,
gvisor,short,20.75683,5760746568795,200,19.576022,18080,4096,4096,1,5760725811965,PASS,20.65825,
gvisor,short,19.963531,5760747151375,200,19.242451,18080,4096,4096,1,5760727187844,PASS,19.859962,
gvisor,short,20.005111,5760748323632,200,19.284007,18080,4096,4096,1,5760728318521,PASS,19.949676,
gvisor,bulk,681.531481,5761504078515,200,0.276772,18081,8388608,8388608,1,5760822547034,PASS,1.680342,
gvisor,bulk,684.68209,5762188774499,200,0.430961,18081,8388608,8388608,1,5761504092409,PASS,2.467024,
gvisor,bulk,683.005732,5762871790892,200,0.34871,18081,8388608,8388608,1,5762188785160,PASS,1.674097,
gvisor,mixed,3.412607,5762955580174,200,2.330417,18080,4096,4096,1,5762952167567,PASS,3.353002,
gvisor,mixed,3.873729,5762979557856,200,2.521454,18080,4096,4096,1,5762975684127,PASS,3.692279,
gvisor,mixed,3.985207,5763003650831,200,2.496994,18080,4096,4096,1,5762999665624,PASS,3.579672,
gvisor,mixed,3.766971,5763027513051,200,2.52444,18080,4096,4096,1,5763023746080,PASS,3.721591,
gvisor,mixed,3.525417,5763051153604,200,2.42623,18080,4096,4096,1,5763047628187,PASS,3.459901,
gvisor,mixed,3.93189,5763075198713,200,2.63509,18080,4096,4096,1,5763071266823,PASS,3.867678,
gvisor,mixed,3.778249,5763099099550,200,2.637097,18080,4096,4096,1,5763095321301,PASS,3.728565,
gvisor,mixed,3.795304,5763123010834,200,2.610903,18080,4096,4096,1,5763119215530,PASS,3.736885,
gvisor,mixed,3.602262,5763146717828,200,2.431662,18080,4096,4096,1,5763143115566,PASS,3.552035,
gvisor,mixed,3.627429,5763170444677,200,2.529864,18080,4096,4096,1,5763166817248,PASS,3.532412,
gvisor,mixed,3.147298,5763193694019,200,2.237054,18080,4096,4096,1,5763190546721,PASS,3.035309,
gvisor,mixed,3.088536,5763216890848,200,2.000911,18080,4096,4096,1,5763213802312,PASS,3.017457,
gvisor,mixed,3.213563,5763240205645,200,2.261395,18080,4096,4096,1,5763236992082,PASS,3.169451,
gvisor,mixed,3.066845,5763263374304,200,2.136898,18080,4096,4096,1,5763260307459,PASS,2.997748,
gvisor,mixed,3.024587,5763286495188,200,2.159413,18080,4096,4096,1,5763283470601,PASS,2.951412,
gvisor,mixed,3.210233,5763309804192,200,2.176828,18080,4096,4096,1,5763306593959,PASS,3.160975,
gvisor,mixed,5.272911,5763335181778,200,4.2977,18080,4096,4096,1,5763329908867,PASS,5.228711,
gvisor,mixed,3.069463,5763358342685,200,2.155007,18080,4096,4096,1,5763355273222,PASS,2.975743,
gvisor,mixed,3.001515,5763381442782,200,2.088878,18080,4096,4096,1,5763378441267,PASS,2.951765,
gvisor,mixed,3.338098,5763404885934,200,2.365295,18080,4096,4096,1,5763401547836,PASS,3.27542,
gvisor,mixed,3.380783,5763428369956,200,2.459032,18080,4096,4096,1,5763424989173,PASS,3.286202,
gvisor,mixed,3.127176,5763451589773,200,2.184316,18080,4096,4096,1,5763448462597,PASS,3.077666,
gvisor,mixed,3.8736,5763475572036,200,2.923361,18080,4096,4096,1,5763471698436,PASS,3.824156,
gvisor,mixed,3.381818,5763499071686,200,2.283601,18080,4096,4096,1,5763495689868,PASS,3.334833,
gvisor,mixed,3.289781,5763522451919,200,2.244792,18080,4096,4096,1,5763519162138,PASS,3.202632,
gvisor,mixed,3.941755,5763546521993,200,2.743761,18080,4096,4096,1,5763542580238,PASS,3.82677,
gvisor,mixed,3.566186,5763570219362,200,2.551313,18080,4096,4096,1,5763566653176,PASS,3.44413,
gvisor,mixed,3.280263,5763593599250,200,2.330283,18080,4096,4096,1,5763590318987,PASS,3.226684,
gvisor,mixed,3.190464,5763616897557,200,2.220332,18080,4096,4096,1,5763613707093,PASS,3.099996,
gvisor,mixed,2.996253,5763639986997,200,1.860719,18080,4096,4096,1,5763636990744,PASS,2.892193,
gvisor,mixed,3.07007,5763663118637,200,2.085493,18080,4096,4096,1,5763660048567,PASS,2.93874,
gvisor,mixed,2.893586,5763686110325,200,2.042847,18080,4096,4096,1,5763683216739,PASS,2.845918,
gvisor,mixed,2738.655605,5765688337074,200,0.648776,18081,33554432,33554432,1,5762949681469,PASS,2.384345,
go,cold-reality,4.814081,5765947453724,200,3.376396,18080,4096,4096,1,5765942639643,PASS,4.668744,0
go,cold-hy2,5.153529,5766025249516,200,3.768686,18081,4096,4096,1,5766020095987,PASS,5.118031,0
go,warm-reality,3.913558,5766105212840,200,2.630587,18080,4096,4096,1,5766101299282,PASS,3.762608,0
go,warm-reality,3.743648,5766180704508,200,2.491249,18080,4096,4096,1,5766176960860,PASS,3.557966,0
go,warm-reality,3.671644,5766255816680,200,2.614172,18080,4096,4096,1,5766252145036,PASS,3.630118,0
go,warm-reality,3.946619,5766334505889,200,2.794591,18080,4096,4096,1,5766330559270,PASS,3.903851,0
go,warm-reality,3.965508,5766412301135,200,2.696074,18080,4096,4096,1,5766408335627,PASS,3.807214,0
go,warm-reality,3.711512,5766488249084,200,2.585399,18080,4096,4096,1,5766484537572,PASS,3.660716,0
go,warm-reality,3.602792,5766562915941,200,2.498053,18080,4096,4096,1,5766559313149,PASS,3.562074,0
go,warm-reality,4.054907,5766639451502,200,2.868866,18080,4096,4096,1,5766635396595,PASS,3.921879,0
go,warm-reality,5.415923,5766717956382,200,4.33619,18080,4096,4096,1,5766712540459,PASS,5.364777,0
go,warm-reality,3.83017,5766794467007,200,2.741915,18080,4096,4096,1,5766790636837,PASS,3.744979,0
go,warm-reality,3.826245,5766869630204,200,2.654091,18080,4096,4096,1,5766865803959,PASS,3.746228,0
go,warm-reality,3.712482,5766945222360,200,2.612049,18080,4096,4096,1,5766941509878,PASS,3.6479,0
go,short,5.403088,5767024198982,200,3.429458,18080,4096,4096,1,5767018795894,PASS,5.358014,
go,short,8.627657,5767027689374,200,5.040443,18080,4096,4096,1,5767019061717,PASS,8.590144,
go,short,9.340862,5767028702547,200,8.194871,18080,4096,4096,1,5767019361685,PASS,9.297054,
go,short,9.041871,5767028600942,200,6.6127,18080,4096,4096,1,5767019559071,PASS,8.985548,
go,short,10.160972,5767030050285,200,9.071119,18080,4096,4096,1,5767019889313,PASS,10.132362,
go,short,15.453919,5767035725016,200,14.390549,18080,4096,4096,1,5767020271097,PASS,15.415697,
go,short,12.952382,5767033438837,200,12.222292,18080,4096,4096,1,5767020486455,PASS,12.852199,
go,short,17.451374,5767038145044,200,16.692142,18080,4096,4096,1,5767020693670,PASS,17.41323,
go,short,19.048691,5767039996517,200,17.851143,18080,4096,4096,1,5767020947826,PASS,18.987271,
go,short,15.705618,5767036869669,200,15.08962,18080,4096,4096,1,5767021164051,PASS,15.643086,
go,short,9.856705,5767031239510,200,8.858263,18080,4096,4096,1,5767021382805,PASS,9.565318,
go,short,20.051796,5767041641804,200,18.71731,18080,4096,4096,1,5767021590008,PASS,20.022392,
go,short,20.400921,5767042176627,200,19.784988,18080,4096,4096,1,5767021775706,PASS,20.333728,
go,short,22.790635,5767044813981,200,22.095422,18080,4096,4096,1,5767022023346,PASS,22.759496,
go,short,21.637904,5767043975429,200,20.735142,18080,4096,4096,1,5767022337525,PASS,21.601134,
go,short,24.27526,5767046829150,200,23.682787,18080,4096,4096,1,5767022553890,PASS,24.207712,
go,short,21.448307,5767045689308,200,20.919407,18080,4096,4096,1,5767024241001,PASS,21.41978,
go,short,20.312086,5767048034937,200,19.602191,18080,4096,4096,1,5767027722851,PASS,20.189882,
go,short,21.654775,5767050277683,200,21.027209,18080,4096,4096,1,5767028622908,PASS,21.592584,
go,short,20.454375,5767049194379,200,19.83156,18080,4096,4096,1,5767028740004,PASS,20.426052,
go,short,21.261829,5767051347451,200,20.620176,18080,4096,4096,1,5767030085622,PASS,21.176842,
go,short,21.072568,5767052330210,200,20.444275,18080,4096,4096,1,5767031257642,PASS,21.007799,
go,short,19.929735,5767053389307,200,19.327593,18080,4096,4096,1,5767033459572,PASS,19.87786,
go,short,18.772208,5767054539145,200,18.102534,18080,4096,4096,1,5767035766937,PASS,18.684087,
go,short,18.732394,5767055619563,200,18.156847,18080,4096,4096,1,5767036887169,PASS,18.70412,
go,short,18.505144,5767056682798,200,17.932569,18080,4096,4096,1,5767038177654,PASS,18.476118,
go,short,17.714909,5767057768366,200,17.096524,18080,4096,4096,1,5767040053457,PASS,17.680838,
go,short,17.265105,5767058939811,200,16.666893,18080,4096,4096,1,5767041674706,PASS,17.233214,
go,short,17.979356,5767060187690,200,17.26387,18080,4096,4096,1,5767042208334,PASS,17.948006,
go,short,18.007763,5767061998291,200,16.622274,18080,4096,4096,1,5767043990528,PASS,17.677848,
go,short,18.057973,5767062920249,200,17.18216,18080,4096,4096,1,5767044862276,PASS,17.924203,
go,short,18.54083,5767064246976,200,17.626424,18080,4096,4096,1,5767045706146,PASS,18.445165,
go,bulk,682.231964,5767822481582,200,0.455141,18081,8388608,8388608,1,5767140249618,PASS,1.848186,
go,bulk,682.566644,5768505093744,200,0.387056,18081,8388608,8388608,1,5767822527100,PASS,1.78748,
go,bulk,683.824327,5769188929059,200,0.299372,18081,8388608,8388608,1,5768505104732,PASS,1.571375,
go,mixed,4.024994,5769272762705,200,2.893369,18080,4096,4096,1,5769268737711,PASS,3.935836,
go,mixed,3.397037,5769296299914,200,2.325042,18080,4096,4096,1,5769292902877,PASS,3.281671,
go,mixed,3.144122,5769319535613,200,2.170551,18080,4096,4096,1,5769316391491,PASS,3.046284,
go,mixed,3.257961,5769342891181,200,2.19802,18080,4096,4096,1,5769339633220,PASS,3.21741,
go,mixed,3.152126,5769366140210,200,2.014255,18080,4096,4096,1,5769362988084,PASS,3.11624,
go,mixed,3.403891,5769389639540,200,2.250291,18080,4096,4096,1,5769386235649,PASS,3.245958,
go,mixed,3.522685,5769413263459,200,2.292741,18080,4096,4096,1,5769409740774,PASS,3.473441,
go,mixed,3.323566,5769436682002,200,2.153465,18080,4096,4096,1,5769433358436,PASS,3.224564,
go,mixed,3.411908,5769460183599,200,2.361978,18080,4096,4096,1,5769456771691,PASS,3.363511,
go,mixed,3.355192,5769483662229,200,2.330383,18080,4096,4096,1,5769480307037,PASS,3.265806,
